2020/12/11 19:01:03 [error] 68336#0: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /admin HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:03 [error] 68336#0: *13 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /admin HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:03 [error] 68336#0: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /admin HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:04 [error] 68336#0: *17 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /admin HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:06 [error] 68336#0: *19 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:07 [error] 68336#0: *21 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:08 [error] 68336#0: *23 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:08 [error] 68336#0: *25 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:08 [error] 68336#0: *27 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:01:18 [error] 68336#0: *29 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 19:11:07 [error] 69232#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
